Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.14292,-0.0062686,-0.18573,0,0,0,41.388,6.4618,0.00017247,-0.70139,6.7863,0.0001022,6.4163,0,0,0,0,0,0,package://Wheelchair_urdf_v2/meshes/base_link.STL,0.62745,0.62745,0.62745,1,0,0,0,0,0,0,package://Wheelchair_urdf_v2/meshes/base_link.STL,,Wheelchair_V3_6 v2.step-1/零部件9.step-1;Wheelchair_V3_6 v2.step-1/Wheelchair_V3_6.step-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
lb_1,-2.0635E-10,4.0187E-10,-0.060459,0,0,0,6.893,0.051072,2.4899E-10,-1.6445E-11,0.051072,-7.868E-11,0.093113,0,0,0,0,0,0,package://Wheelchair_urdf_v2/meshes/lb_1.STL,0.62745,0.62745,0.62745,1,0,0,0,0,0,0,package://Wheelchair_urdf_v2/meshes/lb_1.STL,,Wheelchair_V3_6 v2.step-1/零部件3.step-1,lb_1_sys,lb_1,lb_1_joint,continuous,-0.50557,0.46488,-0.60576,-1.5708,0,0,base_link,0,0,1,,,,,,,,,,,,
rb_1,3.9553E-09,-1.2288E-09,0.060456,0,0,0,6.8929,0.051089,5.6263E-11,2.5059E-10,0.051089,-1.5042E-10,0.093148,0,0,0,0,0,0,package://Wheelchair_urdf_v2/meshes/rb_1.STL,0.62745,0.62745,0.62745,1,0,0,0,0,0,0,package://Wheelchair_urdf_v2/meshes/rb_1.STL,,Wheelchair_V3_6 v2.step-1/零部件4.step-1,rb_1_sys,rb_1,rb_1_joint,continuous,-0.50557,-0.46488,-0.60576,-1.5708,0,0,base_link,0,0,1,,,,,,,,,,,,
lf_2,0.010959,0.021197,-0.14534,0,0,0,0.23831,0.0011666,-1.5828E-05,0.00017342,0.001149,0.00010181,0.00022446,0,0,0,0,0,0,package://Wheelchair_urdf_v2/meshes/lf_2.STL,0.62745,0.62745,0.62745,1,0,0,0,0,0,0,package://Wheelchair_urdf_v2/meshes/lf_2.STL,,Wheelchair_V3_6 v2.step-1/零部件8.step-1,lf_2_sys,lf_2,lf_2_joint,continuous,0.32737,0.38539,-0.43683,0,0,0,base_link,0,0,1,,,,,,,,,,,,
lf_1,2.721E-10,-5.0624E-12,0.033,0,0,0,0.67334,0.0033331,1.8117E-13,1.8328E-13,0.0033331,-3.4356E-13,0.0065825,0,0,0,0,0,0,package://Wheelchair_urdf_v2/meshes/lf_1.STL,0.62745,0.62745,0.62745,1,0,0,0,0,0,0,package://Wheelchair_urdf_v2/meshes/lf_1.STL,,Wheelchair_V3_6 v2.step-1/零部件7.step-1,lf_1_sys,lf_1,lf_1_joint,continuous,0.023099,-0.033004,-0.21416,-1.5708,0,0,lf_2,0,0,-1,,,,,,,,,,,,
rf_2,0.010959,-0.021197,-0.14534,0,0,0,0.23831,0.0011666,1.5828E-05,0.00017342,0.001149,-0.00010181,0.00022446,0,0,0,0,0,0,package://Wheelchair_urdf_v2/meshes/rf_2.STL,0.62745,0.62745,0.62745,1,0,0,0,0,0,0,package://Wheelchair_urdf_v2/meshes/rf_2.STL,,Wheelchair_V3_6 v2.step-1/零部件6.step-1,rf_2_sys,rf_2,rf_2_joint,continuous,0.32737,-0.38539,-0.43683,0,0,0,base_link,0,0,-1,,,,,,,,,,,,
rf_1,3.0616E-10,6.0731E-11,-0.033,0,0,0,0.67334,0.0033331,2.5865E-12,2.4846E-12,0.0033331,7.8731E-13,0.0065825,0,0,0,0,0,0,package://Wheelchair_urdf_v2/meshes/rf_1.STL,0.62745,0.62745,0.62745,1,0,0,0,0,0,0,package://Wheelchair_urdf_v2/meshes/rf_1.STL,,Wheelchair_V3_6 v2.step-1/零部件5.step-1,rf_1_sys,rf_1,rf_1_joint,continuous,0.0230993380896062,0.0330041273825372,-0.214163586043682,-1.5707963267949,0,0,rf_2,0,0,-1,,,,,,,,,,,,
lidar_l,-2.7756E-17,0,-0.01,0,0,0,0.0062832,3.6652E-07,-8.762E-55,9.3513E-39,3.6652E-07,-1.2142E-39,3.1416E-07,0,0,0,0,0,0,package://Wheelchair_urdf_v2/meshes/lidar_l.STL,0.62745,0.62745,0.62745,1,0,0,0,0,0,0,package://Wheelchair_urdf_v2/meshes/lidar_l.STL,,Wheelchair_V3_6 v2.step-1/零部件10.step-1,lidar_l_sys,lidar_l,lidar_l_joint,fixed,0.45047,0.30562,-0.4095,0,0,0,base_link,0,0,0,,,,,,,,,,,,
lidar_r,-2.7756E-17,1.3878E-17,-0.01,0,0,0,0.0062832,3.6652E-07,-8.762E-55,9.3513E-39,3.6652E-07,-1.2142E-39,3.1416E-07,0,0,0,0,0,0,package://Wheelchair_urdf_v2/meshes/lidar_r.STL,0.62745,0.62745,0.62745,1,0,0,0,0,0,0,package://Wheelchair_urdf_v2/meshes/lidar_r.STL,,Wheelchair_V3_6 v2.step-1/零部件10.step-2,lidar_r_sys,lidar_r,lidar_r_joint,fixed,0.45108,-0.30766,-0.4095,0,0,0,base_link,0,0,0,,,,,,,,,,,,
lidar_t,-3.4521E-06,2.4961E-06,-0.015,0,0,0,0.025137,5.3844E-06,8.4571E-12,-3.9594E-21,5.3786E-06,2.8481E-12,6.9924E-06,0,0,0,0,0,0,package://Wheelchair_urdf_v2/meshes/lidar_t.STL,0.62745,0.62745,0.62745,1,0,0,0,0,0,0,package://Wheelchair_urdf_v2/meshes/lidar_t.STL,,Wheelchair_V3_6 v2.step-1/零部件11.step-1,lidar_t_sys,lidar_t,lidar_t_joint,fixed,-0.46383,0,0.76157,0,0,0,base_link,0,0,0,,,,,,,,,,,,
