Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.182408525440924,-0.00312331080687833,0.191583224757413,0,0,0,5.19146797116347,0.201965980400546,5.39982512291012E-06,-0.0219181056816365,0.212071755125648,3.18564452654107E-06,0.200544667219791,0,0,0,0,0,0,package://Wheelchair_v4/meshes/base_link.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://Wheelchair_v4/meshes/base_link.STL,,Wheelchair_V7.step-1/Wheelchair_V3_6 v2.step-1;Wheelchair_V7.step-1/零部件9.step-1;Wheelchair_V7.step-1/零部件14.step-1;Wheelchair_V7.step-1/零部件15.step-1,base_footprint,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
lidar_l,0,1.11022302462516E-16,-0.00499999999999995,0,0,0,0.00113097335529233,1.96035381584004E-08,-8.89219158494505E-24,-1.79366203433577E-41,1.96035381584003E-08,4.41162993361615E-24,2.03575203952619E-08,0,0,0,0,0,0,package://Wheelchair_v4/meshes/lidar_l.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://Wheelchair_v4/meshes/lidar_l.STL,,Wheelchair_V7.step-1/零部件17.step-1,lidar_l_sys,lidar_l,lidar_l_joint,fixed,0.51234,0.27982,0.084114,0,0,0,base_link,0,0,0,,,,,,,,,,,,
lidar_r,0,0,-0.00499999999999995,0,0,0,0.00113097335529233,1.96035381584004E-08,8.96112330265781E-24,4.80455455349343E-40,1.96035381584003E-08,0,2.03575203952619E-08,0,0,0,0,0,0,package://Wheelchair_v4/meshes/lidar_r.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://Wheelchair_v4/meshes/lidar_r.STL,,Wheelchair_V7.step-1/零部件16.step-1,lidar_r_sys,lidar_r,lidar_r_joint,fixed,0.51152,-0.27693,0.084114,0,0,0,base_link,0,0,0,,,,,,,,,,,,
lidar_t,-1.72605643738999E-06,1.24806954215906E-06,-0.00749999999999995,0,0,0,0.00314212358474844,1.68261286200528E-07,2.64253299585466E-13,3.70597095544191E-22,1.68080790319748E-07,8.90021843646033E-14,2.18512428853231E-07,0,0,0,0,0,0,package://Wheelchair_v4/meshes/lidar_t.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://Wheelchair_v4/meshes/lidar_t.STL,,Wheelchair_V7.step-1/零部件11.step-1,lidar_t_sys,lidar_t,lidar_t_joint,fixed,0.020807,0,0.66565,0,0,0,base_link,0,0,0,,,,,,,,,,,,
rb_1,1.9776E-09,-6.144E-10,0.030228,0,0,0,0.86161,0.0015965,1.7582E-12,2.8243E-11,0.0015965,-1.075E-11,0.0029109,0,0,0,0,0,0,package://Wheelchair_v4/meshes/rb_1.STL,0.62745,0.62745,0.62745,1,0,0,0,0,0,0,package://Wheelchair_v4/meshes/rb_1.STL,,Wheelchair_V7.step-1/零部件4.step-1,rb_1_sys,rb_1,rb_1_joint,continuous,-6.4083E-05,-0.23244,-0.018015,-1.5708,0,0,base_link,0,0,1,,,,,,,,,,,,
lb_1,-1.0317E-10,2.0094E-10,-0.030229,0,0,0,0.86162,0.001596,7.781E-12,-5.1392E-13,0.001596,-2.4587E-12,0.0029098,0,0,0,0,0,0,package://Wheelchair_v4/meshes/lb_1.STL,0.62745,0.62745,0.62745,1,0,0,0,0,0,0,package://Wheelchair_v4/meshes/lb_1.STL,,Wheelchair_V7.step-1/零部件3.step-1,lb_1_sys,lb_1,lb_1_joint,continuous,-6.4083E-05,0.23244,-0.018015,-1.5708,0,0,base_link,0,0,1,,,,,,,,,,,,
lf_2,-0.006404,0.012351,0.036333,0,0,0,0.029788,3.6455E-05,4.9462E-07,5.4193E-06,3.5906E-05,-3.1816E-06,7.0144E-06,0,0,0,0,0,0,package://Wheelchair_v4/meshes/lf_2.STL,0.62745,0.62745,0.62745,1,0,0,0,0,0,0,package://Wheelchair_v4/meshes/lf_2.STL,,Wheelchair_V7.step-1/零部件8.step-1,lf_2_sys,lf_2,lf_2_joint,continuous,0.41548,0.19094,0.030114,3.1416,0,3.1416,base_link,0,0,-1,,,,,,,,,,,,
lf_1,1.3605E-10,-2.5313E-12,0.0165,0,0,0,0.084167,0.00010416,5.6617E-15,5.7277E-15,0.00010416,-1.0736E-14,0.0002057,0,0,0,0,0,0,package://Wheelchair_v4/meshes/lf_1.STL,0.62745,0.62745,0.62745,1,0,0,0,0,0,0,package://Wheelchair_v4/meshes/lf_1.STL,,Wheelchair_V7.step-1/零部件7.step-1,lf_1_sys,lf_1,lf_1_joint,continuous,-0.012474,-0.01475,0.070746,1.5708,0,3.1416,lf_2,0,0,1,,,,,,,,,,,,
rf_2,-0.0063204,0.010601,0.036333,0,0,0,0.029788,3.6455E-05,-4.9462E-07,-5.4193E-06,3.5906E-05,-3.1816E-06,7.0144E-06,0,0,0,0,0,0,package://Wheelchair_v4/meshes/rf_2.STL,0.62745,0.62745,0.62745,1,0,0,0,0,0,0,package://Wheelchair_v4/meshes/rf_2.STL,,Wheelchair_V7.step-1/零部件6.step-1,rf_2_sys,rf_2,rf_2_joint,continuous,0.42821,-0.19269,0.030114,3.1416,0,0,base_link,0,0,-1,,,,,,,,,,,,
rf_1,1.5308E-10,3.0365E-11,-0.0165,0,0,0,0.084167,0.00010416,8.0828E-14,7.7644E-14,0.00010416,2.4603E-14,0.0002057,0,0,0,0,0,0,package://Wheelchair_v4/meshes/rf_1.STL,0.62745,0.62745,0.62745,1,0,0,0,0,0,0,package://Wheelchair_v4/meshes/rf_1.STL,,Wheelchair_V7.step-1/零部件5.step-1,rf_1_sys,rf_1,rf_1_joint,continuous,-0.00025,-0.0165,0.070746,1.5708,0,0,rf_2,0,0,-1,,,,,,,,,,,,
